Model,WeightSharing,AuxLoss,RunNb,Score
cnn,True,True,0,0.802
cnn,True,True,1,0.821
cnn,True,True,2,0.798
cnn,True,True,3,0.756
cnn,True,True,4,0.824
cnn,True,True,5,0.764
cnn,True,True,6,0.805
cnn,True,True,7,0.789
cnn,True,True,8,0.778
cnn,True,True,9,0.808
cnn,True,False,0,0.791
cnn,True,False,1,0.791
cnn,True,False,2,0.76
cnn,True,False,3,0.823
cnn,True,False,4,0.806
cnn,True,False,5,0.8
cnn,True,False,6,0.77
cnn,True,False,7,0.8
cnn,True,False,8,0.799
cnn,True,False,9,0.823
cnn,False,True,0,0.805
cnn,False,True,1,0.7
cnn,False,True,2,0.75
cnn,False,True,3,0.713
cnn,False,True,4,0.792
cnn,False,True,5,0.751
cnn,False,True,6,0.802
cnn,False,True,7,0.793
cnn,False,True,8,0.787
cnn,False,True,9,0.75
cnn,False,False,0,0.765
cnn,False,False,1,0.76
cnn,False,False,2,0.817
cnn,False,False,3,0.746
cnn,False,False,4,0.765
cnn,False,False,5,0.761
cnn,False,False,6,0.742
cnn,False,False,7,0.774
cnn,False,False,8,0.805
cnn,False,False,9,0.776
mlp,True,True,0,0.804
mlp,True,True,1,0.782
mlp,True,True,2,0.818
mlp,True,True,3,0.803
mlp,True,True,4,0.814
mlp,True,True,5,0.79
mlp,True,True,6,0.782
mlp,True,True,7,0.812
mlp,True,True,8,0.796
mlp,True,True,9,0.794
mlp,True,False,0,0.781
mlp,True,False,1,0.765
mlp,True,False,2,0.763
mlp,True,False,3,0.79
mlp,True,False,4,0.815
mlp,True,False,5,0.786
mlp,True,False,6,0.77
mlp,True,False,7,0.758
mlp,True,False,8,0.777
mlp,True,False,9,0.78
mlp,False,True,0,0.772
mlp,False,True,1,0.761
mlp,False,True,2,0.774
mlp,False,True,3,0.777
mlp,False,True,4,0.786
mlp,False,True,5,0.751
mlp,False,True,6,0.777
mlp,False,True,7,0.78
mlp,False,True,8,0.786
mlp,False,True,9,0.79
mlp,False,False,0,0.744
mlp,False,False,1,0.762
mlp,False,False,2,0.777
mlp,False,False,3,0.774
mlp,False,False,4,0.721
mlp,False,False,5,0.791
mlp,False,False,6,0.772
mlp,False,False,7,0.768
mlp,False,False,8,0.754
mlp,False,False,9,0.756
